Utterance,True LTL,Out LTL,Accuracy
avoiding all but the green rectangle travel to the blue area,F & green_room F blue_room,& U ! blue_region small_green_region F blue_region,False
move to reach the blue place by taking a path which has green colour and white colour in it while avoiding black yellow and red colour,F & green_room F blue_room,& U ! yellow_region green_region & U ! red_region yellow_region F blue_region,False
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move to blue room through the green room,F & green_room F blue_room,F & green_room F blue_room,True
pass through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to the blue room through the green room,F & green_room F blue_room,F & blue_room F green_room,False
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
enter the blue room by going though the green room,F & green_room F blue_room,F & blue_room F green_room,False
go towards the blue room through the green room,F & green_room F blue_room,F & blue_room F green_room,False
go through the green room to reach the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
the robot goes through green to get to blue,F & green_room F blue_room,F blue_region,False
enter the blue room through the green room,F & green_room F blue_room,F & blue_room U blue_room green_room,False
enter the blue room by way of the green room,F & green_room F blue_room,F & blue_room U blue_room green_room,False
progress through green rectangle room to the large blue room,F & green_room F blue_room,F & green_room F big_blue_room,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to the blue room via the green room,F & green_room F blue_room,F & blue_room F green_room,False
to reach the blue go through the green,F & green_room F blue_room,F & blue_region U blue_region green_region,False
enter the green room and exit into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
travel through the green room to the blue rectangular room,F & green_room F blue_room,F & green_room F big_blue_room,False
go through the green and to the blue,F & green_room F blue_room,F & green_region F blue_region,False
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
enter blue room via green room,F & green_room F blue_room,F & blue_room U blue_room & green_room U ! green_room F green_room,False
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go up through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
follow the green room to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go to blue via green,F & green_room F blue_room,F & blue_region F green_region,False
first enter the green room and then move to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move toward the green room then into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room in to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the green room and into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through green to get to blue,F & green_room F blue_room,F & green_region F blue_region,False
move through the green room and out into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the hallway to the blue room but only if it takes you through a green room,F & green_room F blue_room,& U ! blue_room small_green_room F blue_room,False
go to the green room then go to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room and into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through the green room into the blue room,F & green_room F blue_room,F & green_room F blue_room,True
move through the green room to get to the blue room,F & green_room F blue_room,F & green_room F blue_room,True
go through green rooms to get to the blue one,F & green_room F blue_room,F & green_room F blue_region,False
move to the large blue room by passing through the small green room,F & green_room F blue_room,F & big_blue_room U big_blue_room small_green_room,False
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move from your room to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go in to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room and stay on the first square you end up on,F red_room,F & red_room F small_blue_region,False
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room and stop after entering,F red_room,F & red_room U red_room & ! red_room U ! red_room F red_room,False
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
enter the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
i want you to go into the red room,F red_room,G i red_room F c,False
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red,F red_room,F red_region,False
move to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go into the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move into the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to red room,F red_room,F red_room,True
go to red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
move to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go to the red room,F red_room,F red_room,True
go from the blue room to the red room then go from the red room to the green room,F & red_room F green_room,F & blue_room F & red_room F green_room,False
go to red room and then green room,F & red_room F green_room,F & red_room F green_room,True
go into the red room and then go into the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then go to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room go to the green room,F & red_room F green_room,& F red_room F green_room,False
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room then go to the green room,F & red_room F green_room,F & red_room F green_room,True
enter the red room then enter the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
first go to red room then go to green room,F & red_room F green_room,F & red_room F green_room,True
go from the blue room to the red room and then go from the red room to the green room,F & red_room F green_room,F & blue_room F & red_room F green_room,False
go into the red room and enter the green room,F & red_room F green_room,F & red_room F green_room,True
move to red room move to green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go into the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room and move into the green room,F & red_room F green_room,& F red_room F green_room,False
go into the red room then go into the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room then to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then to green room,F & red_room F green_room,F & red_room F green_room,True
robot c move to the red room and then move to the green room,F & red_room F green_room,F & c F & red_room F green_room,False
move from blue room to red room then move to green room,F & red_room F green_room,F & blue_room F & red_room F green_room,False
move to red room then move to green room,F & red_room F green_room,F & red_room F green_room,True
move into the red room then move into the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room go to the green room,F & red_room F green_room,& F red_room F green_room,False
go to the red room and then go to the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go into the red room and then into the green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room and then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
go to red room go to green room,F & red_room F green_room,F & red_room F green_room,True
move to the red room and then move to the green room,F & red_room F green_room,F & red_room F green_room,True
go to the red room go to the green room,F & red_room F green_room,& F red_room F green_room,False
move to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go in and then go into the green room,F green_room,F & green_room F & b F green_room,False
move to the green room,F green_room,F green_room,True
go in and then go to the green room,F green_room,F & green_room F & b F green_room,False
move to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
move to the middle of the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go into the green room,F green_room,F green_room,True
move to green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move until you are one square into the green room,F green_room,U ! small_green_room b,False
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
leave this room and go into the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to the green room,F green_room,F green_room,True
move to green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
move to green room,F green_room,F green_room,True
go into the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
exit room and go right to the green room,F green_room,F & green_room U green_room & ! green_room U ! green_room F green_room,False
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go into the green room,F green_room,F green_room,True
go from the blue room to the red room then to the green room,F green_room,F & blue_room F & red_room F green_room,False
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
go to the green room,F green_room,F green_room,True
